Player,MP,Dunks
Aaron Gordon,2376,130
Aaron Henry,17,0
Aaron Holiday,2042,0
Aaron Nesmith,574,5
Aaron Wiggins,1209,15
Abdel Nader,145,1
Ade Murkey,1,0
Admiral Schofield,469,1
Ahmad Caver,1,0
Al Horford,2005,31
Alec Burks,2318,3
Aleem Ford,74,1
Aleksej Pokusevski,1233,32
Alex Caruso,1147,4
Alex Len,620,26
Alfonzo McKinnie,206,7
Alize Johnson,334,0
Alperen Şengün,1489,44
Amir Coffey,1567,14
Andre Drummond,2874,186
Andre Iguodala,603,17
Andrew Wiggins,2329,45
Anfernee Simons,1681,8
Anthony Davis,1404,111
Anthony Edwards,2466,58
Anthony Gill,463,3
Anthony Lamb,8,0
Armoni Brooks,1688,6
Arnoldas Kulboka,5,0
Austin Reaves,1418,6
Austin Rivers,1480,2
Avery Bradley,1406,1
Ayo Dosunmu,2110,20
B.J. Johnson,65,1
Bam Adebayo,1825,119
Ben McLemore,1285,8
Bismack Biyombo,506,34
Blake Griffin,958,13
Boban Marjanović,128,9
Bobby Portis,2028,24
Bogdan Bogdanović,1848,3
Bojan Bogdanović,2131,11
Bol Bol,81,5
Bones Hyland,1310,3
Brad Wanamaker,640,0
Bradley Beal,1439,13
Brandon Boston Jr.,760,15
Brandon Clarke,1246,77
Brandon Goodwin,502,0
Brandon Ingram,1869,39
Brandon Knight,65,0
Brandon Williams,640,1
Braxton Key,394,12
Brodric Thomas,60,1
Brook Lopez,298,15
Bruce Brown,1774,34
Bruno Fernando,304,34
Bryn Forbes,2572,0
Buddy Hield,4998,14
C.J. Miles,2,0
CJ Elleby,1174,10
CJ McCollum,4290,8
Cade Cunningham,2088,19
Caleb Martin,1372,36
Cam Reddish,2024,26
Cam Thomas,1176,0
Cameron Johnson,1730,19
Cameron McGriff,46,0
Cameron Oliver,43,1
Cameron Payne,1278,1
Caris LeVert,3562,40
Carlik Jones,46,0
Carmelo Anthony,1793,11
Carsen Edwards,79,0
Cassius Stanley,155,0
Cassius Winston,39,0
Cat Barber,13,0
Cedi Osman,1462,8
Chandler Hutchison,22,0
Charles Bassey,168,13
Charlie Brown Jr.,354,4
Chaundee Brown Jr.,208,0
Cheick Diallo,31,1
Chimezie Metu,1279,63
Chris Boucher,1690,67
Chris Chiozza,372,0
Chris Duarte,1541,15
Chris Paul,2139,0
Chris Silva,182,4
Christian Wood,2094,120
Chuma Okeke,1749,29
Clint Capela,2042,164
Coby White,1675,5
Cody Martin,1866,34
Cody Zeller,355,16
Cole Anthony,2059,14
Collin Sexton,316,4
Corey Kispert,1801,12
Cory Joseph,1600,0
Craig Sword,19,0
D'Angelo Russell,2077,5
D.J. Augustin,1766,0
D.J. Wilson,54,4
DaQuan Jeffries,9,1
Daishen Nix,261,3
Dakota Mathias,16,0
Dalano Banton,696,6
Damian Jones,1017,57
Damian Lillard,1056,2
Damion Lee,1256,2
Damyean Dotson,21,0
Daniel Gafford,1444,158
Daniel Oturu,27,0
Daniel Theis,1954,96
Danilo Gallinari,1672,19
Danny Green,1353,1
Danuel House Jr.,1454,14
Darius Bazley,1924,77
