Player,MP,Dunks
J.J. Hickson,2488,88
J.J. Redick,1765,0
J.R. Smith,967,14
JaJuan Johnson,298,14
JaVale McGee,3070,300
Jamaal Magloire,374,5
Jamaal Tinsley,507,0
Jamal Crawford,1613,5
Jamario Moon,123,0
Jameer Nelson,1706,0
James Anderson,603,7
James Harden,1946,39
James Johnson,1561,39
James Jones,666,0
James Singleton,262,14
Jan Veselý,1078,63
Jannero Pargo,671,0
Jared Dudley,2020,5
Jared Jeffries,729,6
Jarrett Jack,1530,1
Jason Collins,308,4
Jason Kapono,269,0
Jason Kidd*,1379,0
Jason Maxiell,1466,45
Jason Richardson,1591,25
Jason Smith,947,27
Jason Terry,2000,2
Jason Thompson,1657,59
Jeff Adrien,63,1
Jeff Ayres,106,8
Jeff Foote,39,0
Jeff Foster,141,0
Jeff Teague,2183,33
Jeremy Evans,217,25
Jeremy Lin,940,3
Jeremy Pargo,424,4
Jeremy Tyler,568,16
Jermaine O'Neal,570,19
Jerome Dyson,180,1
Jerome Jordan,108,10
Jerry Smith,46,0
Jerry Stackhouse,273,4
Jerryd Bayless,705,1
Jimmer Fredette,1135,0
Jimmy Butler,359,3
Joakim Noah,1945,64
Jodie Meeks,1644,4
Joe Johnson,2127,4
Joel Anthony,1349,25
Joel Przybilla,449,5
Johan Petro,920,13
John Lucas III,726,0
John Salmons,1250,4
John Wall,2386,47
Jon Brockman,239,0
Jon Leuer,555,16
Jonas Jerebko,1468,20
Jonny Flynn,832,0
Jordan Crawford,1753,14
Jordan Farmar,831,4
Jordan Hamilton,258,5
Jordan Hill,1102,16
Jordan Williams,635,7
Josh Childress,491,13
Josh Davis,130,0
Josh Harrellson,540,5
Josh Howard,991,6
Josh McRoberts,718,22
Josh Selby,237,1
Josh Smith,2329,83
José Calderón,1799,0
Jrue Holiday,2196,21
Julyan Stone,179,1
Justin Dentmon,182,0
Justin Harper,84,0
Juwan Howard,190,0
Kawhi Leonard,1534,29
Keith Benson,9,0
Keith Bogans,94,0
Kelenna Azubuike,18,1
Kemba Walker,1792,0
Kendrick Perkins,1744,36
Kenneth Faried,1037,83
Kenyon Martin,940,29
Kevin Durant,2546,102
Kevin Garnett*,1864,34
Kevin Love,2145,39
Kevin Martin,1264,9
Kevin Séraphin,1176,48
Keyon Dooling,662,1
Kirk Hinrich,1237,0
Klay Thompson,1608,12
Kobe Bryant*,2232,28
Kosta Koufos,792,22
Kris Humphries,2162,92
Kurt Thomas,803,0
Kwame Brown,187,4
Kyle Korver,1469,0
Kyle Lowry,1510,0
Kyrie Irving,1558,3
Kyrylo Fesenko,17,0
LaMarcus Aldridge,1994,54
Lamar Odom,1027,5
Lance Stephenson,442,2
Lance Thomas,630,11
Landry Fields,1894,48
Larry Hughes,114,0
Larry Owens,75,0
Larry Sanders,643,26
Lavoy Allen,624,7
Lazar Hayward,141,2
LeBron James,2326,104
Leandro Barbosa,2764,0
Lester Hudson,668,2
Linas Kleiza,1057,8
Lou Amundson,753,22
Lou Williams,1682,7
Luc Mbah a Moute,1009,10
Luis Scola,2067,0
Luke Babbitt,537,0
Luke Harangody,231,0
Luke Ridnour,1750,0
Luke Walton,728,0
Luol Deng,2129,14
Malcolm Lee,243,2
Malcolm Thomas,15,0
Manny Harris,456,2
Manu Ginóbili*,792,5
MarShon Brooks,1648,12
Marc Gasol,2370,28
Marcin Gortat,2114,49
Marco Belinelli,1966,8
Marcus Camby,2704,14
Marcus Morris,126,0
Marcus Thornton,1780,3
Mario Chalmers,1825,1
Markieff Morris,1227,24
Marquis Daniels,484,6
Marreese Speights,1345,26
Martell Webster,1140,15
Marvin Williams,1500,24
Matt Barnes,1440,23
Matt Bonner,1326,1
Matt Carroll,596,0
Maurice Evans,343,5
Mehmet Okur,454,0
Metta World Peace,1720,15
Michael Beasley,1087,9
Michael Redd,770,1
Mickaël Piétrus,921,8
Mickell Gladness,504,16
Mike Bibby,557,0
Mike Conley,2174,0
Mike Dunleavy,1445,2
Mike James,120,0
Mike Miller,752,1
Mikki Moore,118,1
Mo Williams,1472,0
Monta Ellis,4240,46
Morris Almond,67,0
Mychel Thompson,95,0
Nate Robinson,1192,0
Nazr Mohammed,692,14
Nenê,2220,102
Nick Collison,1307,28
Nick Young,3458,32
Nicolas Batum,1791,39
Nikola Peković,1264,29
Nikola Vučević,812,10
Nolan Smith,541,1
Norris Cole,1260,1
O.J. Mayo,1771,9
Omri Casspi,1341,23
Patrick Patterson,1483,12
Patty Mills,261,0
Pau Gasol,2430,74
Paul George,1958,49
Paul Millsap,2100,57
Paul Pierce*,2075,20
Quentin Richardson,866,4
Quincy Pondexter,1002,15
Raja Bell,796,1
Rajon Rondo,1957,0
Ramon Sessions,3414,10
Randy Foye,1682,7
Rashard Lewis,729,4
Rasual Butler,453,2
Ray Allen*,1565,2
Raymond Felton,1906,0
Reggie Evans,771,3
Reggie Jackson,501,3
Reggie Williams,747,5
Renaldo Balkman,115,4
Richard Hamilton,697,1
Richard Jefferson,3496,18
Ricky Rubio,1404,0
Robin Lopez,895,23
Rodney Stuckey,1644,2
Rodrigue Beaubois,1151,10
Roger Mason,697,0
Ronnie Brewer,1635,33
Ronnie Price,517,3
Ronny Turiaf,558,10
Roy Hibbert,1937,37
Royal Ivey,354,0
Rudy Fernández,710,7
Rudy Gay,2422,110
Russell Westbrook,2331,48
Ryan Anderson,1964,26
Ryan Gomes,425,0
Ryan Hollins,1044,52
Ryan Reid,17,0
Sam Young,750,6
Samardo Samuels,825,23
Samuel Dalembert,1446,59
Sasha Pavlović,527,4
Sean Williams,214,12
Sebastian Telfair,895,0
Semih Erden,333,12
Serge Ibaka,1792,83
Shane Battier,1499,0
Shannon Brown,1400,29
Shaun Livingston,1092,21
Shawn Marion,1919,43
Shawne Williams,514,1
Shelden Williams,1276,20
Shelvin Mack,779,1
Solomon Alabi,122,6
Solomon Jones,584,4
Spencer Hawes,920,11
Stephen Curry,732,0
Stephen Jackson,2424,10
Steve Blake,1237,0
Steve Nash*,1961,0
Steve Novak,1020,0
Sundiata Gaines,793,1
T.J. Ford,191,0
Taj Gibson,1284,47
Tayshaun Prince,2087,18
Terrel Harris,318,2
Terrence Williams,1100,8
Thabo Sefolosha,914,9
Thaddeus Young,1755,46
Tiago Splitter,1121,29
Tim Duncan*,1634,35
Timofey Mozgov,687,35
Tobias Harris,479,12
Toney Douglas,656,0
Tony Allen,1525,13
Tony Battie,295,3
Tony Parker,1923,0
Tracy McGrady*,837,11
Travis Leslie,45,1
Travis Outlaw,500,11
Trevor Ariza,1350,18
Trevor Booker,1261,42
Trey Johnson,61,0
Trey Thompkins,119,3
Tristan Thompson,1424,66
Troy Murphy,956,2
Ty Lawson,2124,4
Tyler Hansbrough,1442,12
Tyler Honeycutt,88,4
Tyreke Evans,2162,15
Tyrus Thomas,1013,12
Tyson Chandler,2061,134
Udonis Haslem,1589,23
Vernon Macklin,135,5
Vince Carter,1542,20
Vladimir Radmanović,755,3
Von Wafer,469,5
Walker Russell,357,0
Wayne Ellington,973,5
Wesley Johnson,1469,27
Wesley Matthews,2228,7
Will Bynum,514,1
Willie Green,922,6
Wilson Chandler,215,4
Xavier Henry,759,6
Xavier Silas,39,0
Yi Jianlian,203,4
Zach Randolph,735,2
Zaza Pachulia,1640,14
Ömer Aşık,971,27
