Player,MP,Dunks
A.J. Price,568,0
Aaron Gray,813,9
Al Harrington,1761,27
Al Horford,348,10
Al Jefferson,2075,52
Al-Farouq Aminu,1477,37
Alan Anderson,461,3
Alec Burks,939,17
Alonzo Gee,1827,50
Amar'e Stoudemire,1543,83
Amir Johnson,1553,49
Anderson Varejão,785,11
Andray Blatche,626,10
Andre Emmett,45,1
Andre Iguodala,2209,70
Andre Miller,1809,0
Andrea Bargnani,1032,16
Andrew Bogut,364,10
Andrew Bynum,2112,136
Andrew Goudelock,419,0
Andris Biedriņš,739,13
Andrés Nocioni,56,0
Antawn Jamison,2151,2
Anthony Carter,209,0
Anthony Morrow,1636,1
Anthony Parker,1280,1
Anthony Randolph,517,21
Anthony Tolliver,882,14
Armon Johnson,248,2
Arron Afflalo,2086,6
Austin Daye,603,0
Avery Bradley,1368,14
Baron Davis,595,0
Ben Gordon,1398,0
Ben Uzoh,740,8
Ben Wallace*,980,3
Beno Udrih,1080,0
Bismack Biyombo,1455,40
Blake Ahearn,30,0
Blake Griffin,2392,192
Bobby Simmons,418,1
Boris Diaw,2848,4
Brad Miller,146,0
Brandan Wright,791,57
Brandon Bass,1868,52
Brandon Jennings,2331,8
Brandon Knight,2129,5
Brandon Rush,1717,26
Brendan Haywood,1146,42
Brian Cardinal,277,0
Brian Cook,552,4
Brian Scalabrine,122,0
Brian Skinner,4,0
Brook Lopez,136,2
Byron Mullens,1465,53
C.J. Miles,1145,31
C.J. Watson,1159,0
Carl Landry,999,32
Carldell Johnson,119,0
Carlos Boozer,1948,30
Carlos Delfino,1537,8
Carmelo Anthony,1876,28
Caron Butler,1871,16
Cartier Martin,391,2
Chandler Parsons,1804,32
Channing Frye,1669,24
Charles Jenkins,893,0
Charlie Villanueva,180,2
Chase Budinger,1298,19
Chauncey Billups,607,0
Chris Andersen,486,23
Chris Bosh*,2007,66
Chris Duhon,1226,0
Chris Johnson,350,12
Chris Kaman,1372,14
Chris Paul,2181,2
Chris Singleton,1431,16
Chris Wilcox,481,25
Chris Wright,186,13
Christian Eyenga,204,4
Chuck Hayes,1039,1
Cole Aldrich,173,13
Corey Brewer,1287,37
Corey Maggette,881,14
Cory Higgins,423,0
Cory Joseph,266,1
Courtney Fortson,190,0
Courtney Lee,1757,13
Craig Brackins,88,0
Craig Smith,464,2
D.J. Augustin,1408,0
D.J. Kennedy,59,0
D.J. White,1098,14
DaJuan Summers,209,2
Daequan Cook,989,0
Dahntay Jones,1052,17
Damien Wilkins,922,11
Damion James,170,1
Dan Gadzuric,13,0
Daniel Gibson,916,0
Daniel Orton,187,7
Danilo Gallinari,1351,32
Danny Granger,2062,4
Danny Green,1522,8
Dante Cunningham,1124,20
Darington Hobson,39,0
Darius Morris,169,0
Darko Miličić,472,9
Darren Collison,1878,3
Darryl Watkins,98,1
David Lee,2121,66
David West,1925,14
DeAndre Jordan,1798,141
DeAndre Liggins,115,2
DeJuan Blair,1363,7
DeMar DeRozan,2206,35
DeMarcus Cousins,1950,72
DeMarre Carroll,696,6
DeSagana Diop,325,2
DeShawn Stevenson,960,0
Delonte West,1060,8
Dennis Horner,22,0
Derek Fisher,3016,0
Deron Williams,1999,13
Derrick Brown,1443,56
Derrick Byars,37,0
Derrick Favors,1376,68
Derrick Rose,1375,12
Derrick Williams,1418,36
Devin Ebanks,396,3
Devin Harris,1741,1
Dexter Pittman,301,15
Dirk Nowitzki,2079,4
Dominic McGuire,1127,21
Dominique Jones,268,2
Donald Sloan,1338,6
Donté Greene,777,24
Dorell Wright,1650,28
Drew Gooden,1469,16
Dwight Howard,2070,137
Dwyane Wade,1625,63
E'Twaun Moore,331,0
Earl Barron,9,0
Earl Boykins,111,0
Earl Clark,559,11
Earl Watson,1033,0
Ed Davis,1534,40
Eddy Curry,83,5
Eduardo Nájera,270,0
Edwin Ubiles,52,1
Ekpe Udoh,2580,42
Elliot Williams,149,11
Elton Brand,1732,21
Emeka Okafor,781,11
Enes Freedom,874,20
Eric Bledsoe,464,8
Eric Dawson,39,0
Eric Gordon,310,4
Eric Maynor,137,0
Erick Dampier,83,0
Ersan İlyasova,1655,7
Evan Turner,1713,16
Francisco Elson,16,0
Francisco García,798,1
Gary Forbes,713,2
Gary Neal,1206,0
George Hill,1274,10
Gerald Green,781,21
Gerald Henderson,1831,31
Gerald Wallace,4152,30
Gilbert Arenas,211,0
Glen Davis,1427,13
Goran Dragić,1752,12
Gordon Hayward,2015,39
Grant Hill*,1378,1
Greg Monroe,2082,33
Greg Smith,69,3
Greg Stiemsma,766,9
Greivis Vásquez,1706,1
Gustavo Ayón,1088,12
Hakim Warrick,503,19
Hamady N'Diaye,3,0
Hamed Haddadi,206,3
Hasheem Thabeet,278,12
Hassan Whiteside,109,5
Hedo Türkoğlu,1653,2
Henry Walker,620,4
Ian Mahinmi,1139,45
Ike Diogu,14,0
Iman Shumpert,1705,25
Isaiah Thomas,1656,0
Ish Smith,468,0
Ivan Johnson,934,35
J.J. Barea,1032,0
