Player,MP,Dunks
Kevin Ollie,3446,0
Kevin Willis,865,18
Keyon Dooling,155,1
Kirk Haston,77,0
Kobe Bryant*,3063,88
Kurt Thomas,2771,12
Kwame Brown,817,26
LaPhonso Ellis,1684,12
Lamar Odom,999,7
Lamond Murray,2312,35
Larry Hughes,2049,29
Larry Robinson,10,0
Latrell Sprewell,3326,25
Lavor Postell,179,1
Lawrence Funderburke,722,24
Lee Nailon,1912,29
Leon Smith,100,6
Lindsey Hunter,1616,6
Loren Woods,516,7
Lorenzen Wright,1251,36
Lucious Harris,1553,2
Malik Allen,161,2
Malik Rose,1725,57
Mamadou N'Diaye,46,0
Marc Jackson,990,10
Marcus Camby,1007,39
Marcus Fizer,1963,34
Mark Blount,415,10
Mark Bryant,206,3
Mark Jackson,2367,0
Mark Madsen,650,15
Mark Pope,426,8
Mark Strickland,654,29
Mateen Cleaves,153,0
Matt Bullard,350,0
Matt Geiger,36,0
Matt Harpring,2541,8
Maurice Evans,45,3
Mengke Bateer,408,0
Metta World Peace,3284,40
Michael Bradley,118,2
Michael Curry,1912,22
Michael Dickerson,124,2
Michael Doleac,705,3
Michael Finley,2754,56
Michael Jordan*,2093,20
Michael Olowokandi,2568,49
Michael Redd,1417,8
Michael Ruffin,169,1
Michael Stewart,93,2
Mike Bibby,2659,4
Mike James,119,0
Mike Miller,2123,38
Mike Penberthy,12,0
Mikki Moore,217,11
Milt Palacio,1580,4
Mitch Richmond*,709,2
Mitchell Butler,90,1
Monty Williams,1284,14
Moochie Norris,2249,0
Mookie Blaylock,599,0
Morris Peterson,1988,14
Nazr Mohammed,2168,58
Nick Anderson,219,0
Nick Van Exel,4992,0
Norm Richardson,134,0
Obinna Ekezie,152,2
Olumide Oyedeji,221,7
Othella Harrington,1563,10
P.J. Brown,2563,37
Pat Garrity,2406,4
Patrick Ewing*,901,12
Pau Gasol,3007,177
Paul Pierce*,3302,50
Peja Stojaković,2649,28
Popeye Jones,1920,2
Predrag Drobnjak,1174,12
Primož Brezec,160,0
Quentin Richardson,2152,45
Quincy Lewis,490,2
Raef LaFrentz,4910,86
Rafer Alston,600,0
Raja Bell,890,4
Randy Brown,6,0
Randy Livingston,176,0
Rashard Lewis,2585,44
Rasheed Wallace,2963,104
Rasho Nesterović,2218,28
Ratko Varda,6,0
Ray Allen*,2525,27
Reggie Miller*,2889,6
Reggie Slater,94,2
Richard Hamilton,2203,13
Richard Jefferson,1917,64
Rick Brunson,520,0
Rick Fox,2289,6
Ricky Davis,1954,79
Robert Horry,2140,20
Robert Pack,252,0
Robert Traylor,678,25
Rod Strickland,2294,0
Rodney Buford,1769,23
Rodney Rogers,3760,36
Rodney White,129,2
Ron Mercer,3432,22
Ruben Boumtje-Boumtje,245,7
Ruben Patterson,1765,80
Rusty LaRue,542,1
Ryan Bowen,1686,6
Sam Cassell,2605,0
Sam Mack,159,0
Sam Mitchell,726,0
Samaki Walker,1655,53
Samuel Dalembert,177,13
Scot Pollard,1881,37
Scott Padgett,1295,9
Scott Williams,737,5
Scottie Pippen*,1996,20
Sean Marks,319,19
Sean Rooks,728,1
Shammond Williams,603,6
Shandon Anderson,1596,6
Shane Battier,3097,32
Shaquille O'Neal*,2422,252
Shareef Abdur-Rahim,2980,99
Shawn Bradley,757,16
Shawn Kemp,1232,18
Shawn Marion,3109,93
Shawnelle Scott,252,3
Speedy Claxton,1528,3
Stacey Augmon,1319,18
Stanislav Medvedenko,729,11
Stephen Jackson,227,2
Stephon Marbury,3187,4
Steve Francis,2343,22
Steve Goodrich,50,0
Steve Kerr,775,0
Steve Nash*,2837,0
Steve Smith,2211,7
Steven Hunter,516,29
Stromile Swift,1805,112
Tang Hamilton,98,5
Tariq Abdul-Wahad,882,16
Terence Morris,1110,18
Terrell Brandon,962,1
Terry Porter,1294,0
Theo Ratliff,82,2
Tierre Brown,403,0
Tim Duncan*,3329,102
Tim Hardaway*,3202,0
Tim James,41,2
Tim Thomas,1987,46
Todd MacCulloch,1502,43
Tom Gugliotta,1129,6
Toni Kukoč*,1494,8
Tony Battie,1819,76
Tony Delk,2894,4
Tony Massenburg,1247,35
Tony Parker,2267,1
Tracy McGrady*,2912,114
Tracy Murray,473,4
Trajan Langdon,477,0
Travis Best,3494,0
Travis Knight,429,4
Tremaine Fowlkes,343,3
Trenton Hassell,2237,27
